2025-01-13 18:03:16 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:22 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:28 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:34 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:03:40 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:04:25 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:04:31 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:04:49 Behaviour internal: auto [inhibit-charge], Battery internal: 87%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:04:55 Behaviour internal: [auto] inhibit-charge, Battery internal: 87%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:05:01 Behaviour internal: [auto] inhibit-charge, Battery internal: 87%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 18:05:07 Behaviour internal: [auto] inhibit-charge, Battery internal: 87%, int_charger: Fast, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 19:08:19 Behaviour internal: [auto] inhibit-charge, Battery internal: 100%, int_charger: N/A, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 19:08:25 Behaviour internal: auto [inhibit-charge], Battery internal: 100%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-13 19:08:31 Behaviour internal: auto [inhibit-charge], Battery internal: 100%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
